date,cruise,road,aviation,all
1/1/2013,16000,90000,545812,651812
1/2/2013,20000,88000,462476,570476
1/3/2013,21000,91000,475366,587366
1/4/2013,19571,90211,504137,613919
1/5/2013,20403,113746,424602,558751
1/6/2013,21568,100067,445656,567291
1/7/2013,18947,132990,506388,658325
1/8/2013,11489,139237,525993,676719
1/9/2013,18578,138059,458190,614827
1/10/2013,8289,142088,478318,628695
1/11/2013,5658,138582,586794,731034
1/12/2013,9758,146370,566221,722349
1/1/2014,7642,150451,618081,776174
1/2/2014,15241,179552,647233,842026
1/3/2014,5658,120837,583230,709725
1/4/2014,5956,133692,606332,745980
1/5/2014,4781,138056,531367,674204
1/6/2014,1370,101685,436721,539776
1/7/2014,2000,114012,448724,564736
1/8/2014,1500,97553,519535,618588
1/9/2014,1800,114418,474663,590881
1/10/2014,795,151004,407203,559002
1/11/2014,562,115867,492188,608617
1/12/2014,1287,136579,519438,657304
1/1/2015,6883,131926,561883,700692
1/2/2015,7021,138145,610834,756000
1/3/2015,9245,70096,538554,617895
1/4/2015,6142,149791,534507,690440
1/5/2015,1551,116559,458758,576868
1/6/2015,4113,106156,419176,529445
1/7/2015,1958,83148,508460,593566
1/8/2015,1360,53466,610159,664985
1/9/2015,3323,144929,478072,626324
1/10/2015,3980,183575,461544,649099
1/11/2015,4124,205747,522869,732740
1/12/2015,13728,169846,577224,760798
1/1/2016,22553,133253,659394,815200
1/2/2016,21887,154518,667321,843726
1/3/2016,22978,147784,659846,830608
1/4/2016,23697,114431,661484,799612
1/5/2016,25536,97942,643894,767372
1/6/2016,18910,63526,628138,710574
1/7/2016,21656,94934,739849,856439
1/8/2016,22656,108202,779008,909866
1/9/2016,22510,130610,670015,823135
1/10/2016,20446,133563,668136,822145
1/11/2016,26980,141578,768221,936779
1/12/2016,35046,146916,715317,897279
1/1/2017,18340,153923,834975,1007238
1/2/2017,71099,144309,984013,1199421
1/3/2017,22615,170612,812594,1005821
1/4/2017,49790,141996,879864,1071650
1/5/2017,5996,119323,847525,972844
1/6/2017,3003,93365,852994,949362
1/7/2017,7258,122358,907264,1036880
1/8/2017,1818,164116,1063229,1229163
1/9/2017,9978,134833,831141,975952
1/10/2017,14810,146588,863501,1024899
1/11/2017,25766,142470,1004332,1172568
1/12/2017,28363,219125,1028865,1276353
1/1/2018,34759,244514,1150969,1430242
1/2/2018,57850,228034,1145961,1431845
1/3/2018,27166,247363,1068785,1343314
1/4/2018,22285,250836,1068792,1341913
1/5/2018,15562,196689,948863,1161114
1/6/2018,16067,180816,986219,1183102
1/7/2018,4078,196410,988329,1188817
1/8/2018,4948,254200,1064398,1323546
1/9/2018,8090,219432,985075,1212597
1/10/2018,9247,242120,953790,1205157
1/11/2018,4323,261535,1036051,1301909
1/12/2018,10931,275549,1087755,1374235
1/1/2019,24157,310406,1167203,1501766
1/2/2019,30730,301338,1256093,1588161
1/3/2019,20147,297073,1092967,1410187
1/4/2019,44432,266567,1157767,1468766
1/5/2019,10551,268249,1047868,1326668
1/6/2019,9147,239928,936370,1185445
1/7/2019,18458,250686,1046648,1315792
1/8/2019,14159,312502,1185786,1512447
1/9/2019,17824,245113,1298337,1561274
1/10/2019,23686,272825,1321826,1618337
1/11/2019,19140,296173,1494267,1809580
1/12/2019,31684,306107,1372377,1710168
1/1/2020,80092,292464,1621569,1994125
1/2/2020,54993,192859,994879,1242731
1/3/2020,9024,65762,375137,449923
1/4/2020,,,,
1/5/2020,,,,
1/6/2020,,,,
1/7/2020,,,,
1/8/2020,,,,
1/9/2020,,,,
1/10/2020,,,,
1/11/2020,,,,
1/12/2020,,,,
1/1/2021,,,,
1/2/2021,,,,
1/3/2021,,,,
1/4/2021,,,,
1/5/2021,,,,
1/6/2021,,,,
1/7/2021,,,,
1/8/2021,,,,
1/9/2021,,,,
1/10/2021,,,,
1/11/2021,,,,
1/12/2021,,,,
1/1/2022,10,2356,17361,19727
1/2/2022,18,3624,25875,29517
1/3/2022,8,2649,39083,41740
1/4/2022,28,13309,88036,101373
1/5/2022,31,22561,150356,172948
1/6/2022,29,33462,203186,236677
1/7/2022,133,45319,307127,352579
1/8/2022,130,46749,439528,486407
1/9/2022,107,42448,389354,431909
1/10/2022,251,50352,433752,484355
1/11/2022,110,63265,533544,596919
1/12/2022,2284,54838,649949,707071
1/1/2023,5645,65456,800061,871162
1/2/2023,7356,89413,836200,932969
1/3/2023,20707,87046,787672,895425
1/4/2023,10338,130959,842849,984146
1/5/2023,6828,130362,779067,916257
1/6/2023,4167,130253,840590,975010
1/7/2023,16,131846,906701,1038563
1/8/2023,4620,144385,1068416,1217421
1/9/2023,4349,136176,913924,1054449
1/10/2023,5426,138005,969095,1112526
1/11/2023,18413,153392,1061566,1233371
1/12/2023,38222,188505,1144408,1371135
1/1/2024,48376,176910,1287027,1512313
1/2/2024,42312,211719,1277380,1531411
1/3/2024,45991,236640,1316443,1599074
1/4/2024,14872,231645,1310016,1556533
1/5/2024,10868,220370,1152465,1383703
1/6/2024,2430,183541,1063266,1249237
1/7/2024,694,148726,1002012,1151432
1/8/2024,48,180441,1266320,1446809
1/9/2024,59,168612,1106133,1274804
1/10/2024,23437,202833,1193563,1419833
1/11/2024,32078,277542,1401892,1711512
1/12/2024,26885,252752,1467603,1747240
